,Order ID,Restaurant Name,State,City,Pizza Type,Pizza Size,Toppings Count,Topping Density,Pizza Complexity,Order Month,Order Time,Delivery Time,Delivery Duration (min),Estimated Duration (min),Delay (min),Delay Status,Distance (km),Traffic Level,Payment Category,Payment Method,Is Peak Hour,Is Weekend
22,ORD023,Little Caesars,Texas,Houston,Non-Veg,Medium,3,High Density,Low,January,7:30,7:50,20,21,-1,Early,3.5,Low,Online,UPI,TRUE,FALSE
23,ORD024,Pizza Hut,Arizona,Phoenix,Cheese Burst,X-Large,5,High Density,High,January,6:15,6:40,25,24,1,Delayed,4,Medium,Offline,Cash,TRUE,FALSE
24,ORD025,Marco's Pizza,Georgia,Atlanta,Non-Veg,Medium,3,High Density,Low,January,2:30,2:50,20,18,2,Delayed,3,High,Online,Wallet,FALSE,FALSE
25,ORD026,Domino's,Washington,Seattle,Veg,Large,4,High Density,Medium,January,8:00,8:25,25,27,-2,Early,4.5,Low,Online,Card,TRUE,FALSE
26,ORD027,Papa John's,Colorado,Denver,Vegan,Small,2,High Density,Very Low,January,7:15,7:40,25,12,13,Delayed,2,Medium,Online,UPI,TRUE,TRUE
27,ORD028,Little Caesars,Massachusetts,Boston,Non-Veg,Medium,3,High Density,Low,January,6:30,6:50,20,21,-1,Early,3.5,High,Offline,Cash,TRUE,TRUE
28,ORD029,Pizza Hut,Illinois,Chicago,Cheese Burst,X-Large,5,High Density,High,January,8:00,8:25,25,24,1,Delayed,4,Low,Online,Wallet,TRUE,FALSE
29,ORD030,Marco's Pizza,Florida,Miami,Non-Veg,Medium,3,High Density,Low,January,1:15,1:35,20,18,2,Delayed,3,Medium,Online,Card,FALSE,FALSE
30,ORD031,Domino's,California,Los Angeles,Veg,Large,4,High Density,Medium,February,7:45,8:10,25,27,-2,Early,4.5,High,Online,UPI,TRUE,FALSE
31,ORD032,Papa John's,Arizona,Phoenix,Vegan,Small,2,High Density,Very Low,February,6:00,6:25,25,12,13,Delayed,2,Low,Offline,Cash,TRUE,FALSE
32,ORD033,Little Caesars,Georgia,Atlanta,Non-Veg,Medium,3,High Density,Low,February,8:30,8:55,25,21,4,Delayed,3.5,Medium,Online,Wallet,TRUE,TRUE
33,ORD034,Pizza Hut,Texas,Dallas,Cheese Burst,X-Large,5,High Density,High,February,2:15,2:35,20,24,-4,Early,4,High,Online,Card,FALSE,TRUE
34,ORD035,Marco's Pizza,Washington,Seattle,Non-Veg,Medium,3,High Density,Low,February,7:00,7:25,25,18,7,Delayed,3,Low,Online,UPI,TRUE,FALSE
35,ORD036,Domino's,Texas,Houston,Veg,Large,4,High Density,Medium,February,6:45,7:10,25,27,-2,Early,4.5,Medium,Online,Card,TRUE,FALSE
36,ORD037,Papa John's,Arizona,Phoenix,Non-Veg,Medium,3,High Density,Low,February,8:00,8:25,25,18,7,Delayed,3,High,Online,UPI,TRUE,FALSE
37,ORD038,Little Caesars,Georgia,Atlanta,Vegan,Small,2,Medium Density,Very Low,February,7:30,7:50,20,15,5,Delayed,2.5,Low,Offline,Cash,TRUE,FALSE
38,ORD039,Pizza Hut,Texas,Dallas,Cheese Burst,X-Large,5,High Density,High,February,6:15,6:40,25,24,1,Delayed,4,Medium,Online,Wallet,TRUE,FALSE
39,ORD040,Marco's Pizza,Washington,Seattle,Non-Veg,Medium,3,High Density,Low,February,2:30,2:50,20,21,-1,Early,3.5,High,Online,Card,FALSE,TRUE
40,ORD041,Domino's,Colorado,Denver,Veg,Large,4,High Density,Medium,February,7:00,7:20,20,24,-4,Early,4,Low,Online,UPI,TRUE,TRUE
41,ORD042,Papa John's,Massachusetts,Boston,Vegan,Small,2,High Density,Very Low,February,8:15,8:40,25,12,13,Delayed,2,Medium,Offline,Cash,TRUE,FALSE
42,ORD043,Little Caesars,Texas,Dallas,Non-Veg,Medium,3,High Density,Low,February,6:30,6:50,20,18,2,Delayed,3,High,Online,Wallet,TRUE,FALSE
43,ORD044,Pizza Hut,California,Los Angeles,Cheese Burst,X-Large,5,High Density,High,February,7:45,8:10,25,30,-5,Early,5,Low,Online,Card,TRUE,FALSE
44,ORD045,Marco's Pizza,Illinois,Chicago,Non-Veg,Medium,3,High Density,Low,February,1:00,1:20,20,21,-1,Early,3.5,Medium,Online,UPI,FALSE,FALSE
45,ORD046,Domino's,Florida,Miami,Veg,Large,4,High Density,Medium,February,6:30,6:50,20,24,-4,Early,4,High,Offline,Cash,TRUE,FALSE
46,ORD047,Papa John's,Texas,Dallas,Non-Veg,Medium,3,High Density,Low,February,8:00,8:25,25,18,7,Delayed,3,Low,Online,Wallet,TRUE,TRUE
47,ORD048,Little Caesars,Texas,Houston,Vegan,Small,2,Medium Density,Very Low,February,7:15,7:35,20,15,5,Delayed,2.5,Medium,Online,Card,TRUE,TRUE
48,ORD049,Pizza Hut,Arizona,Phoenix,Cheese Burst,X-Large,5,High Density,High,February,8:30,8:55,25,27,-2,Early,4.5,High,Online,UPI,TRUE,FALSE
49,ORD050,Marco's Pizza,Georgia,Atlanta,Non-Veg,Medium,3,High Density,Low,February,2:45,3:05,20,18,2,Delayed,3,Low,Offline,Cash,FALSE,FALSE
50,ORD051,Domino's,Washington,Seattle,Veg,Large,4,High Density,Medium,February,7:00,7:20,20,24,-4,Early,4,Medium,Online,Wallet,TRUE,FALSE
51,ORD052,Papa John's,Colorado,Denver,Vegan,Small,2,High Density,Very Low,February,8:15,8:40,25,12,13,Delayed,2,High,Online,Card,TRUE,FALSE
52,ORD053,Little Caesars,Massachusetts,Boston,Non-Veg,Medium,3,High Density,Low,February,6:30,6:50,20,21,-1,Early,3.5,Low,Online,UPI,TRUE,FALSE
53,ORD054,Pizza Hut,Illinois,Chicago,Cheese Burst,X-Large,5,High Density,High,February,7:45,8:10,25,24,1,Delayed,4,Medium,Offline,Cash,TRUE,TRUE
54,ORD055,Marco's Pizza,Florida,Miami,Non-Veg,Medium,3,High Density,Low,February,1:00,1:20,20,18,2,Delayed,3,High,Online,Wallet,FALSE,TRUE
55,ORD056,Domino's,California,Los Angeles,Veg,Large,4,High Density,Medium,February,6:30,6:50,20,27,-7,Early,4.5,Low,Online,Card,TRUE,FALSE
56,ORD057,Papa John's,Arizona,Phoenix,Non-Veg,Medium,3,High Density,Low,February,8:00,8:25,25,18,7,Delayed,3,High,Online,UPI,TRUE,FALSE
57,ORD058,Little Caesars,Georgia,Atlanta,Vegan,Small,2,Medium Density,Very Low,February,7:15,7:35,20,15,5,Delayed,2.5,Low,Offline,Cash,TRUE,FALSE
58,ORD059,Pizza Hut,Texas,Dallas,Cheese Burst,X-Large,5,High Density,High,February,8:30,8:55,25,24,1,Delayed,4,Medium,Online,Wallet,TRUE,FALSE
59,ORD060,Marco's Pizza,Washington,Seattle,Non-Veg,Medium,3,High Density,Low,March,2:45,3:05,20,21,-1,Early,3.5,High,Online,Card,FALSE,FALSE
60,ORD061,Domino's,Colorado,Denver,Veg,Large,4,High Density,Medium,March,7:00,7:20,20,24,-4,Early,4,Low,Online,UPI,TRUE,TRUE
61,ORD062,Papa John's,Massachusetts,Boston,Vegan,Small,2,High Density,Very Low,March,8:15,8:40,25,12,13,Delayed,2,Medium,Offline,Cash,TRUE,TRUE
62,ORD063,Little Caesars,Texas,Dallas,Non-Veg,Medium,3,High Density,Low,March,6:30,6:50,20,18,2,Delayed,3,High,Online,Wallet,TRUE,FALSE
63,ORD064,Pizza Hut,California,Los Angeles,Cheese Burst,X-Large,5,High Density,High,March,7:45,8:10,25,27,-2,Early,4.5,Low,Online,Card,TRUE,FALSE
64,ORD065,Marco's Pizza,Illinois,Chicago,Non-Veg,Medium,3,High Density,Low,March,1:00,1:20,20,21,-1,Early,3.5,Low,Online,Card,FALSE,FALSE
65,ORD066,Domino's,Florida,Miami,Veg,Large,4,High Density,Medium,March,6:30,6:50,20,24,-4,Early,4,High,Online,Card,TRUE,FALSE
66,ORD067,Papa John's,Texas,Dallas,Non-Veg,Medium,3,High Density,Low,March,8:00,8:25,25,21,4,Delayed,3.5,Medium,Online,UPI,TRUE,FALSE
67,ORD068,Little Caesars,Illinois,Chicago,Vegan,Small,2,Medium Density,Very Low,March,7:15,7:35,20,15,5,Delayed,2.5,Low,Offline,Cash,TRUE,TRUE
68,ORD069,Pizza Hut,Arizona,Phoenix,Cheese Burst,X-Large,5,High Density,High,March,7:45,8:10,25,27,-2,Early,4.5,High,Online,Wallet,TRUE,TRUE
69,ORD070,Marco's Pizza,Georgia,Atlanta,Non-Veg,Medium,3,High Density,Low,March,1:00,1:20,20,18,2,Delayed,3,Low,Online,Card,FALSE,FALSE
70,ORD071,Domino's,Washington,Seattle,Veg,Large,4,High Density,Medium,March,6:30,6:50,20,24,-4,Early,4,Medium,Online,UPI,TRUE,FALSE
71,ORD072,Papa John's,Colorado,Denver,Vegan,Small,2,High Density,Very Low,March,8:15,8:40,25,12,13,Delayed,2,High,Offline,Cash,TRUE,FALSE
72,ORD073,Little Caesars,Massachusetts,Boston,Non-Veg,Medium,3,High Density,Low,March,6:30,6:50,20,21,-1,Early,3.5,Low,Online,Wallet,TRUE,FALSE
73,ORD074,Pizza Hut,Illinois,Chicago,Cheese Burst,X-Large,5,High Density,High,March,7:45,8:10,25,24,1,Delayed,4,Medium,Online,Card,TRUE,FALSE
74,ORD075,Marco's Pizza,Florida,Miami,Non-Veg,Medium,3,High Density,Low,March,1:00,1:20,20,18,2,Delayed,3,High,Online,UPI,FALSE,TRUE
75,ORD076,Domino's,California,Los Angeles,Veg,Large,4,High Density,Medium,March,6:30,6:50,20,27,-7,Early,4.5,Low,Offline,Cash,TRUE,TRUE
76,ORD077,Papa John's,Arizona,Phoenix,Non-Veg,Medium,3,High Density,Low,March,8:00,8:25,25,18,7,Delayed,3,High,Online,Wallet,TRUE,FALSE
77,ORD078,Little Caesars,Georgia,Atlanta,Vegan,Small,2,Medium Density,Very Low,March,7:15,7:35,20,15,5,Delayed,2.5,Low,Online,Card,TRUE,FALSE
78,ORD079,Pizza Hut,Texas,Dallas,Cheese Burst,X-Large,5,High Density,High,March,7:45,8:10,25,24,1,Delayed,4,Medium,Online,UPI,TRUE,FALSE
79,ORD080,Marco's Pizza,Washington,Seattle,Non-Veg,Medium,3,High Density,Low,March,1:00,1:20,20,21,-1,Early,3.5,High,Offline,Cash,FALSE,FALSE
80,ORD081,Domino's,Colorado,Denver,Veg,Large,4,High Density,Medium,March,6:30,6:50,20,24,-4,Early,4,Low,Online,Wallet,TRUE,FALSE
81,ORD082,Papa John's,Massachusetts,Boston,Vegan,Small,2,High Density,Very Low,March,8:15,8:40,25,12,13,Delayed,2,High,Online,Card,TRUE,TRUE
82,ORD083,Little Caesars,Texas,Dallas,Non-Veg,Medium,3,High Density,Low,March,6:30,6:50,20,18,2,Delayed,3,High,Online,UPI,TRUE,TRUE
83,ORD084,Pizza Hut,California,Los Angeles,Cheese Burst,X-Large,5,High Density,High,March,7:45,8:10,25,27,-2,Early,4.5,Low,Offline,Cash,TRUE,FALSE
84,ORD085,Marco's Pizza,Illinois,Chicago,Non-Veg,Medium,3,High Density,Low,March,1:00,1:20,20,21,-1,Early,3.5,Medium,Online,Wallet,FALSE,FALSE
85,ORD086,Domino's,Florida,Miami,Veg,Large,4,High Density,Medium,March,6:30,6:50,20,24,-4,Early,4,High,Online,Card,TRUE,FALSE
86,ORD087,Papa John's,Texas,Dallas,Non-Veg,Medium,3,High Density,Low,March,8:00,8:25,25,18,7,Delayed,3,Low,Online,UPI,TRUE,FALSE
87,ORD088,Little Caesars,Texas,Houston,Vegan,Small,2,Medium Density,Very Low,March,7:15,7:35,20,15,5,Delayed,2.5,Low,Offline,Cash,TRUE,FALSE
88,ORD089,Pizza Hut,Arizona,Phoenix,Cheese Burst,X-Large,5,High Density,High,March,7:45,8:10,25,27,-2,Early,4.5,High,Online,Wallet,TRUE,TRUE
89,ORD090,Marco's Pizza,Georgia,Atlanta,Non-Veg,Medium,3,High Density,Low,March,1:00,1:20,20,18,2,Delayed,3,Medium,Online,Card,FALSE,TRUE
90,ORD091,Domino's,Washington,Seattle,Veg,Large,4,High Density,Medium,April,6:30,6:50,20,24,-4,Early,4,Low,Online,UPI,TRUE,FALSE
91,ORD092,Papa John's,Colorado,Denver,Vegan,Small,2,High Density,Very Low,April,8:15,8:40,25,12,13,Delayed,2,High,Offline,Cash,TRUE,FALSE
92,ORD093,Little Caesars,Massachusetts,Boston,Non-Veg,Medium,3,High Density,Low,April,6:30,6:50,20,21,-1,Early,3.5,Low,Online,Wallet,TRUE,FALSE
93,ORD094,Pizza Hut,Illinois,Chicago,Cheese Burst,X-Large,5,High Density,High,April,7:45,8:10,25,24,1,Delayed,4,Medium,Online,Card,TRUE,FALSE
94,ORD095,Marco's Pizza,Florida,Miami,Non-Veg,Medium,3,High Density,Low,April,1:00,1:20,20,18,2,Delayed,3,High,Online,UPI,FALSE,FALSE
95,ORD096,Domino's,California,Los Angeles,Veg,Large,4,High Density,Medium,April,6:30,6:50,20,27,-7,Early,4.5,High,Online,Card,TRUE,TRUE
96,ORD097,Papa John's,Texas,Dallas,Non-Veg,Medium,3,High Density,Low,April,8:00,8:25,25,18,7,Delayed,3,Medium,Online,UPI,TRUE,TRUE
97,ORD098,Little Caesars,Illinois,Chicago,Vegan,Small,2,Medium Density,Very Low,April,7:15,7:35,20,15,5,Delayed,2.5,Low,Offline,Cash,TRUE,FALSE
98,ORD099,Pizza Hut,Arizona,Phoenix,Cheese Burst,X-Large,5,High Density,High,April,7:45,8:10,25,24,1,Delayed,4,High,Online,Wallet,TRUE,FALSE
99,ORD100,Marco's Pizza,Georgia,Atlanta,Non-Veg,Medium,3,High Density,Low,April,1:00,1:20,20,21,-1,Early,3.5,Low,Online,Card,FALSE,FALSE
100,ORD101,Domino's,Washington,Seattle,Veg,Large,4,High Density,Medium,April,6:30,6:50,20,27,-7,Early,4.5,Medium,Online,UPI,TRUE,FALSE
101,ORD102,Papa John's,Colorado,Denver,Vegan,Small,2,High Density,Very Low,April,8:15,8:40,25,12,13,Delayed,2,High,Offline,Cash,TRUE,FALSE
102,ORD103,Little Caesars,Massachusetts,Boston,Non-Veg,Medium,3,High Density,Low,April,6:30,6:50,20,21,-1,Early,3.5,Low,Online,Wallet,TRUE,TRUE
103,ORD104,Pizza Hut,Illinois,Chicago,Cheese Burst,X-Large,5,High Density,High,April,7:45,8:10,25,24,1,Delayed,4,Medium,Online,Card,TRUE,TRUE
104,ORD105,Marco's Pizza,Florida,Miami,Non-Veg,Medium,3,High Density,Low,April,1:00,1:20,20,18,2,Delayed,3,High,Online,UPI,FALSE,FALSE
105,ORD106,Domino's,California,Los Angeles,Veg,Large,4,High Density,Medium,April,6:30,6:50,20,27,-7,Early,4.5,Low,Offline,Cash,TRUE,FALSE
106,ORD107,Papa John's,Arizona,Phoenix,Non-Veg,Medium,3,High Density,Low,April,8:00,8:25,25,18,7,Delayed,3,High,Online,Wallet,TRUE,FALSE
107,ORD108,Little Caesars,Georgia,Atlanta,Vegan,Small,2,Medium Density,Very Low,April,7:15,7:35,20,15,5,Delayed,2.5,Low,Online,Card,TRUE,FALSE
108,ORD109,Pizza Hut,Texas,Dallas,Cheese Burst,X-Large,5,High Density,High,April,7:45,8:10,25,24,1,Delayed,4,Medium,Online,UPI,TRUE,FALSE
109,ORD110,Marco's Pizza,Washington,Seattle,Non-Veg,Medium,3,High Density,Low,April,1:00,1:20,20,21,-1,Early,3.5,High,Offline,Cash,FALSE,TRUE
110,ORD111,Domino's,Colorado,Denver,Veg,Large,4,High Density,Medium,April,6:30,6:50,20,27,-7,Early,4.5,Low,Online,Wallet,TRUE,TRUE
111,ORD112,Papa John's,Massachusetts,Boston,Vegan,Small,2,High Density,Very Low,April,8:15,8:40,25,12,13,Delayed,2,High,Online,Card,TRUE,FALSE
112,ORD113,Little Caesars,Texas,Dallas,Non-Veg,Medium,3,High Density,Low,April,6:30,6:50,20,18,2,Delayed,3,High,Online,UPI,TRUE,FALSE
113,ORD114,Pizza Hut,California,Los Angeles,Cheese Burst,X-Large,5,High Density,High,April,7:45,8:10,25,27,-2,Early,4.5,Low,Offline,Cash,TRUE,FALSE
114,ORD115,Marco's Pizza,Illinois,Chicago,Non-Veg,Medium,3,High Density,Low,April,1:00,1:20,20,21,-1,Early,3.5,Medium,Online,Wallet,FALSE,FALSE
115,ORD116,Domino's,Florida,Miami,Veg,Large,4,High Density,Medium,April,6:30,6:50,20,24,-4,Early,4,High,Online,Card,TRUE,FALSE
116,ORD117,Papa John's,Texas,Dallas,Non-Veg,Medium,3,High Density,Low,April,8:00,8:25,25,18,7,Delayed,3,Low,Online,UPI,TRUE,TRUE
117,ORD118,Little Caesars,Texas,Houston,Vegan,Small,2,Medium Density,Very Low,April,7:15,7:35,20,15,5,Delayed,2.5,Low,Offline,Cash,TRUE,TRUE
118,ORD119,Pizza Hut,Arizona,Phoenix,Cheese Burst,X-Large,5,High Density,High,April,7:45,8:10,25,27,-2,Early,4.5,High,Online,Wallet,TRUE,FALSE
119,ORD120,Marco's Pizza,Georgia,Atlanta,Non-Veg,Medium,3,High Density,Low,April,1:00,1:20,20,18,2,Delayed,3,Medium,Online,Card,FALSE,FALSE
120,ORD121,Domino's,Washington,Seattle,Veg,Large,4,High Density,Medium,May,6:30,6:50,20,27,-7,Early,4.5,Low,Online,UPI,TRUE,FALSE
121,ORD122,Papa John's,Colorado,Denver,Vegan,Small,2,High Density,Very Low,May,8:15,8:40,25,12,13,Delayed,2,High,Offline,Cash,TRUE,FALSE
122,ORD123,Little Caesars,Massachusetts,Boston,Non-Veg,Medium,3,High Density,Low,May,6:30,6:50,20,21,-1,Early,3.5,Low,Online,Wallet,TRUE,FALSE
123,ORD124,Pizza Hut,Illinois,Chicago,Cheese Burst,X-Large,5,High Density,High,May,7:45,8:10,25,24,1,Delayed,4,Medium,Online,Card,TRUE,TRUE
124,ORD125,Marco's Pizza,Florida,Miami,Non-Veg,Medium,3,High Density,Low,May,1:00,1:20,20,18,2,Delayed,3,High,Online,UPI,FALSE,TRUE
125,ORD126,Domino's,New York,New York,Veg,Medium,2,Medium Density,Very Low,August,6:00,6:20,20,18,2,Delayed,3,Low,Online,Card,TRUE,FALSE
126,ORD127,Papa John's,Illinois,Chicago,Non-Veg,Large,4,Medium Density,Medium,August,7:15,7:45,30,36,-6,Early,6,Medium,Online,UPI,TRUE,FALSE
127,ORD128,Pizza Hut,California,Los Angeles,Cheese Burst,X-Large,5,Medium Density,High,August,8:30,9:10,40,48,-8,Early,8,High,Online,Wallet,TRUE,TRUE
128,ORD129,Little Caesars,Texas,Houston,Vegan,Small,1,Low Density,Very Low,August,6:45,7:05,20,15,5,Delayed,2.5,Low,Offline,Cash,TRUE,TRUE
129,ORD130,Marco's Pizza,Arizona,Phoenix,Non-Veg,Large,4,Low Density,Medium,August,7:00,7:50,50,60,-10,Early,10,High,Online,Card,TRUE,FALSE
130,ORD131,Domino's,Florida,Miami,Veg,Medium,3,Low Density,Low,August,8:00,8:35,35,33,2,Delayed,5.5,Medium,Online,Wallet,TRUE,FALSE
131,ORD132,Papa John's,Colorado,Denver,Vegan,Small,2,High Density,Very Low,August,6:30,6:50,20,12,8,Delayed,2,Low,Online,UPI,TRUE,FALSE
132,ORD133,Pizza Hut,Massachusetts,Boston,Cheese Burst,X-Large,5,Medium Density,High,August,7:45,8:25,40,45,-5,Early,7.5,High,Offline,Cash,TRUE,FALSE
133,ORD134,Little Caesars,Texas,Dallas,Non-Veg,Medium,3,Medium Density,Low,August,6:00,6:30,30,24,6,Delayed,4,Medium,Online,Card,TRUE,FALSE
134,ORD135,Marco's Pizza,Washington,Seattle,Veg,Large,4,Low Density,Medium,August,8:15,9:00,45,54,-9,Early,9,High,Online,Wallet,TRUE,TRUE
135,ORD136,Domino's,California,San Jose,Veg,Medium,2,Medium Density,Very Low,August,6:00,6:20,20,18,2,Delayed,3,Low,Online,UPI,TRUE,TRUE
136,ORD137,Papa John's,Texas,Austin,Non-Veg,Large,4,Medium Density,Medium,August,7:15,7:45,30,36,-6,Early,6,Medium,Offline,Cash,TRUE,FALSE
137,ORD138,Pizza Hut,California,San Diego,Cheese Burst,X-Large,5,Medium Density,High,August,8:30,9:10,40,48,-8,Early,8,High,Online,Card,TRUE,FALSE
138,ORD139,Little Caesars,Florida,Jacksonville,Vegan,Small,1,Low Density,Very Low,August,6:45,7:05,20,15,5,Delayed,2.5,Low,Online,Wallet,TRUE,FALSE
139,ORD140,Marco's Pizza,Texas,Fort Worth,Non-Veg,Large,4,Low Density,Medium,August,7:00,7:50,50,60,-10,Early,10,High,Online,UPI,TRUE,FALSE
140,ORD141,Domino's,Ohio,Columbus,Veg,Medium,3,Low Density,Low,August,8:00,8:35,35,33,2,Delayed,5.5,Medium,Offline,Cash,TRUE,FALSE
141,ORD142,Papa John's,North Carolina,Charlotte,Vegan,Small,2,High Density,Very Low,August,6:30,6:50,20,12,8,Delayed,2,Low,Online,Card,TRUE,TRUE
142,ORD143,Pizza Hut,Indiana,Indianapolis,Cheese Burst,X-Large,5,Medium Density,High,August,7:45,8:25,40,45,-5,Early,7.5,High,Online,Wallet,TRUE,TRUE
143,ORD144,Little Caesars,California,San Francisco,Non-Veg,Medium,3,Medium Density,Low,August,6:00,6:30,30,24,6,Delayed,4,Medium,Online,UPI,TRUE,FALSE
144,ORD145,Marco's Pizza,North Carolina,Charlotte,Veg,Large,4,Low Density,Medium,August,8:15,9:00,45,54,-9,Early,9,High,Offline,Cash,TRUE,FALSE
145,ORD146,Domino's,Michigan,Detroit,Veg,Medium,2,Medium Density,Very Low,August,6:00,6:20,20,18,2,Delayed,3,Low,Online,Card,TRUE,FALSE
146,ORD147,Papa John's,Texas,El Paso,Non-Veg,Large,4,Medium Density,Medium,August,7:15,7:45,30,36,-6,Early,6,Medium,Online,Wallet,TRUE,FALSE
147,ORD148,Pizza Hut,Tennessee,Memphis,Cheese Burst,X-Large,5,Medium Density,High,August,8:30,9:10,40,48,-8,Early,8,High,Online,UPI,TRUE,FALSE
148,ORD149,Little Caesars,Maryland,Baltimore,Vegan,Small,1,Low Density,Very Low,August,6:45,7:05,20,15,5,Delayed,2.5,Low,Offline,Cash,TRUE,TRUE
149,ORD150,Marco's Pizza,Massachusetts,Boston,Non-Veg,Large,4,Low Density,Medium,August,7:00,7:50,50,60,-10,Early,10,High,Online,Card,TRUE,TRUE
150,ORD151,Domino's,New York,New York,Veg,Large,4,Medium Density,Medium,August,6:00,6:30,30,33,-3,Early,5.5,High,Offline,Domino's Cash,TRUE,FALSE
151,ORD152,Pizza Hut,California,Los Angeles,Cheese Burst,X-Large,5,Medium Density,High,August,7:15,7:45,30,36,-6,Early,6,Medium,Online,Card,TRUE,FALSE
152,ORD153,Papa John's,Illinois,Chicago,Non-Veg,Medium,3,Low Density,Low,August,8:00,8:35,35,42,-7,Early,7,Low,Online,UPI,TRUE,TRUE
153,ORD154,Little Caesars,Texas,Houston,Vegan,Small,2,Medium Density,Very Low,August,5:45,6:05,20,18,2,Delayed,3,Low,Online,Wallet,FALSE,TRUE
154,ORD155,Marco's Pizza,Arizona,Phoenix,Non-Veg,Medium,4,Medium Density,Low,August,1:30,2:00,30,30,0,On Time,5,High,Offline,Cash,FALSE,FALSE
155,ORD156,Domino's,Florida,Miami,Veg,Large,3,Low Density,Medium,August,6:20,6:50,30,39,-9,Early,6.5,Medium,Offline,Domino's Cash,TRUE,FALSE
156,ORD157,Papa John's,Colorado,Denver,Vegan,Small,2,Low Density,Very Low,August,8:10,8:45,35,24,11,Delayed,4,High,Online,Card,TRUE,FALSE
157,ORD158,Little Caesars,Massachusetts,Boston,Non-Veg,Medium,3,High Density,Low,August,6:00,6:25,25,21,4,Delayed,3.5,Low,Online,UPI,TRUE,FALSE
